folder_name,as_of_date,raw_csv,imputed_csv,imputed_exists,needs_imputation,n_spreads,n_cells,n_missing
00011_1985-01-16,1985-01-16,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00011_1985-01-16\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00011_1985-01-16\imputed_correlation_matrix.csv,True,False,55,3025,3025
00012_1985-01-17,1985-01-17,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00012_1985-01-17\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00012_1985-01-17\imputed_correlation_matrix.csv,True,False,55,3025,3025
00013_1985-01-18,1985-01-18,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00013_1985-01-18\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00013_1985-01-18\imputed_correlation_matrix.csv,True,False,55,3025,3025
00014_1985-01-22,1985-01-22,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00014_1985-01-22\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00014_1985-01-22\imputed_correlation_matrix.csv,True,False,55,3025,3025
00015_1985-01-23,1985-01-23,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00015_1985-01-23\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00015_1985-01-23\imputed_correlation_matrix.csv,True,False,55,3025,3025
00016_1985-01-24,1985-01-24,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00016_1985-01-24\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00016_1985-01-24\imputed_correlation_matrix.csv,True,False,55,3025,3025
00017_1985-01-25,1985-01-25,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00017_1985-01-25\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00017_1985-01-25\imputed_correlation_matrix.csv,True,False,55,3025,3025
00018_1985-01-28,1985-01-28,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00018_1985-01-28\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00018_1985-01-28\imputed_correlation_matrix.csv,True,False,55,3025,3025
00019_1985-01-29,1985-01-29,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00019_1985-01-29\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00019_1985-01-29\imputed_correlation_matrix.csv,True,False,55,3025,3025
00020_1985-01-30,1985-01-30,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00020_1985-01-30\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00020_1985-01-30\imputed_correlation_matrix.csv,True,False,55,3025,1000
00021_1985-01-31,1985-01-31,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00021_1985-01-31\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00021_1985-01-31\imputed_correlation_matrix.csv,True,False,55,3025,1000
00022_1985-02-01,1985-02-01,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00022_1985-02-01\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00022_1985-02-01\imputed_correlation_matrix.csv,True,False,55,3025,1000
00023_1985-02-04,1985-02-04,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00023_1985-02-04\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00023_1985-02-04\imputed_correlation_matrix.csv,True,False,55,3025,1000
00024_1985-02-05,1985-02-05,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00024_1985-02-05\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00024_1985-02-05\imputed_correlation_matrix.csv,True,False,55,3025,1000
00025_1985-02-06,1985-02-06,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00025_1985-02-06\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00025_1985-02-06\imputed_correlation_matrix.csv,True,False,55,3025,1000
00026_1985-02-07,1985-02-07,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00026_1985-02-07\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00026_1985-02-07\imputed_correlation_matrix.csv,True,False,55,3025,1000
00027_1985-02-08,1985-02-08,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00027_1985-02-08\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00027_1985-02-08\imputed_correlation_matrix.csv,True,False,55,3025,1000
00028_1985-02-11,1985-02-11,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00028_1985-02-11\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00028_1985-02-11\imputed_correlation_matrix.csv,True,False,55,3025,1000
00029_1985-02-13,1985-02-13,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00029_1985-02-13\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00029_1985-02-13\imputed_correlation_matrix.csv,True,False,55,3025,1000
00030_1985-02-14,1985-02-14,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00030_1985-02-14\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00030_1985-02-14\imputed_correlation_matrix.csv,True,False,55,3025,1000
00031_1985-02-15,1985-02-15,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00031_1985-02-15\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00031_1985-02-15\imputed_correlation_matrix.csv,True,False,55,3025,1000
00032_1985-02-19,1985-02-19,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00032_1985-02-19\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00032_1985-02-19\imputed_correlation_matrix.csv,True,False,55,3025,1000
00033_1985-02-20,1985-02-20,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00033_1985-02-20\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00033_1985-02-20\imputed_correlation_matrix.csv,True,False,55,3025,1000
00034_1985-02-21,1985-02-21,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00034_1985-02-21\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00034_1985-02-21\imputed_correlation_matrix.csv,True,False,55,3025,1000
00035_1985-02-22,1985-02-22,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00035_1985-02-22\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00035_1985-02-22\imputed_correlation_matrix.csv,True,False,55,3025,1000
00036_1985-02-25,1985-02-25,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00036_1985-02-25\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00036_1985-02-25\imputed_correlation_matrix.csv,True,False,55,3025,1000
00037_1985-02-26,1985-02-26,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00037_1985-02-26\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00037_1985-02-26\imputed_correlation_matrix.csv,True,False,55,3025,1000
00038_1985-02-27,1985-02-27,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00038_1985-02-27\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00038_1985-02-27\imputed_correlation_matrix.csv,True,False,55,3025,1000
00039_1985-02-28,1985-02-28,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00039_1985-02-28\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00039_1985-02-28\imputed_correlation_matrix.csv,True,False,55,3025,1000
00040_1985-03-01,1985-03-01,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00040_1985-03-01\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00040_1985-03-01\imputed_correlation_matrix.csv,True,False,55,3025,1000
00041_1985-03-04,1985-03-04,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00041_1985-03-04\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00041_1985-03-04\imputed_correlation_matrix.csv,True,False,55,3025,1000
00042_1985-03-05,1985-03-05,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00042_1985-03-05\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00042_1985-03-05\imputed_correlation_matrix.csv,True,False,55,3025,1000
00043_1985-03-06,1985-03-06,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00043_1985-03-06\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00043_1985-03-06\imputed_correlation_matrix.csv,True,False,55,3025,1000
00044_1985-03-07,1985-03-07,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00044_1985-03-07\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00044_1985-03-07\imputed_correlation_matrix.csv,True,False,55,3025,1000
00045_1985-03-08,1985-03-08,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00045_1985-03-08\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00045_1985-03-08\imputed_correlation_matrix.csv,True,False,55,3025,1000
00046_1985-03-11,1985-03-11,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00046_1985-03-11\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00046_1985-03-11\imputed_correlation_matrix.csv,True,False,55,3025,1000
00047_1985-03-12,1985-03-12,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00047_1985-03-12\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00047_1985-03-12\imputed_correlation_matrix.csv,True,False,55,3025,1000
00048_1985-03-13,1985-03-13,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00048_1985-03-13\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00048_1985-03-13\imputed_correlation_matrix.csv,True,False,55,3025,1000
00049_1985-03-14,1985-03-14,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00049_1985-03-14\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00049_1985-03-14\imputed_correlation_matrix.csv,True,False,55,3025,1000
00050_1985-03-15,1985-03-15,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00050_1985-03-15\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00050_1985-03-15\imputed_correlation_matrix.csv,True,False,55,3025,1000
00051_1985-03-18,1985-03-18,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00051_1985-03-18\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00051_1985-03-18\imputed_correlation_matrix.csv,True,False,55,3025,1000
00052_1985-03-19,1985-03-19,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00052_1985-03-19\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00052_1985-03-19\imputed_correlation_matrix.csv,True,False,55,3025,1000
00053_1985-03-20,1985-03-20,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00053_1985-03-20\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00053_1985-03-20\imputed_correlation_matrix.csv,True,False,55,3025,1000
00054_1985-03-21,1985-03-21,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00054_1985-03-21\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00054_1985-03-21\imputed_correlation_matrix.csv,True,False,55,3025,1000
00055_1985-03-22,1985-03-22,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00055_1985-03-22\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00055_1985-03-22\imputed_correlation_matrix.csv,True,False,55,3025,1000
00056_1985-03-25,1985-03-25,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00056_1985-03-25\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00056_1985-03-25\imputed_correlation_matrix.csv,True,False,55,3025,1000
00057_1985-03-26,1985-03-26,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00057_1985-03-26\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00057_1985-03-26\imputed_correlation_matrix.csv,True,False,55,3025,1000
00058_1985-03-27,1985-03-27,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00058_1985-03-27\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00058_1985-03-27\imputed_correlation_matrix.csv,True,False,55,3025,1000
00059_1985-03-28,1985-03-28,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00059_1985-03-28\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00059_1985-03-28\imputed_correlation_matrix.csv,True,False,55,3025,1000
00060_1985-03-29,1985-03-29,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00060_1985-03-29\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00060_1985-03-29\imputed_correlation_matrix.csv,True,False,55,3025,1000
00061_1985-04-01,1985-04-01,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00061_1985-04-01\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00061_1985-04-01\imputed_correlation_matrix.csv,True,False,55,3025,1000
00062_1985-04-02,1985-04-02,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00062_1985-04-02\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00062_1985-04-02\imputed_correlation_matrix.csv,True,False,55,3025,1000
00063_1985-04-03,1985-04-03,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00063_1985-04-03\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00063_1985-04-03\imputed_correlation_matrix.csv,True,False,55,3025,1000
00064_1985-04-04,1985-04-04,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00064_1985-04-04\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00064_1985-04-04\imputed_correlation_matrix.csv,True,False,55,3025,1000
00065_1985-04-08,1985-04-08,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00065_1985-04-08\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00065_1985-04-08\imputed_correlation_matrix.csv,True,False,55,3025,1000
00066_1985-04-09,1985-04-09,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00066_1985-04-09\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00066_1985-04-09\imputed_correlation_matrix.csv,True,False,55,3025,1000
00067_1985-04-10,1985-04-10,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00067_1985-04-10\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00067_1985-04-10\imputed_correlation_matrix.csv,True,False,55,3025,1000
00068_1985-04-11,1985-04-11,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00068_1985-04-11\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00068_1985-04-11\imputed_correlation_matrix.csv,True,False,55,3025,1000
00069_1985-04-12,1985-04-12,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00069_1985-04-12\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00069_1985-04-12\imputed_correlation_matrix.csv,True,False,55,3025,1000
00070_1985-04-15,1985-04-15,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00070_1985-04-15\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00070_1985-04-15\imputed_correlation_matrix.csv,True,False,55,3025,1000
00071_1985-04-16,1985-04-16,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00071_1985-04-16\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00071_1985-04-16\imputed_correlation_matrix.csv,True,False,55,3025,1000
00072_1985-04-17,1985-04-17,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00072_1985-04-17\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00072_1985-04-17\imputed_correlation_matrix.csv,True,False,55,3025,1000
00073_1985-04-18,1985-04-18,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00073_1985-04-18\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00073_1985-04-18\imputed_correlation_matrix.csv,True,False,55,3025,1000
00074_1985-04-19,1985-04-19,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00074_1985-04-19\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00074_1985-04-19\imputed_correlation_matrix.csv,True,False,55,3025,1000
00075_1985-04-22,1985-04-22,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00075_1985-04-22\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00075_1985-04-22\imputed_correlation_matrix.csv,True,False,55,3025,1000
00076_1985-04-23,1985-04-23,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00076_1985-04-23\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00076_1985-04-23\imputed_correlation_matrix.csv,True,False,55,3025,1000
00077_1985-04-24,1985-04-24,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00077_1985-04-24\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00077_1985-04-24\imputed_correlation_matrix.csv,True,False,55,3025,1000
00078_1985-04-25,1985-04-25,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00078_1985-04-25\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00078_1985-04-25\imputed_correlation_matrix.csv,True,False,55,3025,1000
00079_1985-04-26,1985-04-26,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00079_1985-04-26\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00079_1985-04-26\imputed_correlation_matrix.csv,True,False,55,3025,1000
00080_1985-04-29,1985-04-29,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00080_1985-04-29\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00080_1985-04-29\imputed_correlation_matrix.csv,True,False,55,3025,1000
00081_1985-04-30,1985-04-30,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00081_1985-04-30\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00081_1985-04-30\imputed_correlation_matrix.csv,True,False,55,3025,1000
00082_1985-05-01,1985-05-01,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00082_1985-05-01\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00082_1985-05-01\imputed_correlation_matrix.csv,True,False,55,3025,1000
00083_1985-05-02,1985-05-02,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00083_1985-05-02\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00083_1985-05-02\imputed_correlation_matrix.csv,True,False,55,3025,1000
00084_1985-05-03,1985-05-03,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00084_1985-05-03\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00084_1985-05-03\imputed_correlation_matrix.csv,True,False,55,3025,1000
00085_1985-05-06,1985-05-06,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00085_1985-05-06\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00085_1985-05-06\imputed_correlation_matrix.csv,True,False,55,3025,1000
00086_1985-05-07,1985-05-07,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00086_1985-05-07\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00086_1985-05-07\imputed_correlation_matrix.csv,True,False,55,3025,1000
00087_1985-05-08,1985-05-08,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00087_1985-05-08\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00087_1985-05-08\imputed_correlation_matrix.csv,True,False,55,3025,1000
00088_1985-05-09,1985-05-09,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00088_1985-05-09\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00088_1985-05-09\imputed_correlation_matrix.csv,True,False,55,3025,1000
00089_1985-05-10,1985-05-10,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00089_1985-05-10\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00089_1985-05-10\imputed_correlation_matrix.csv,True,False,55,3025,1000
00090_1985-05-13,1985-05-13,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00090_1985-05-13\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00090_1985-05-13\imputed_correlation_matrix.csv,True,False,55,3025,1000
00091_1985-05-14,1985-05-14,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00091_1985-05-14\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00091_1985-05-14\imputed_correlation_matrix.csv,True,False,55,3025,1000
00092_1985-05-15,1985-05-15,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00092_1985-05-15\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00092_1985-05-15\imputed_correlation_matrix.csv,True,False,55,3025,1000
00093_1985-05-16,1985-05-16,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00093_1985-05-16\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00093_1985-05-16\imputed_correlation_matrix.csv,True,False,55,3025,1000
00094_1985-05-17,1985-05-17,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00094_1985-05-17\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00094_1985-05-17\imputed_correlation_matrix.csv,True,False,55,3025,1000
00095_1985-05-20,1985-05-20,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00095_1985-05-20\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00095_1985-05-20\imputed_correlation_matrix.csv,True,False,55,3025,1000
00096_1985-05-21,1985-05-21,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00096_1985-05-21\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00096_1985-05-21\imputed_correlation_matrix.csv,True,False,55,3025,1000
00097_1985-05-22,1985-05-22,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00097_1985-05-22\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00097_1985-05-22\imputed_correlation_matrix.csv,True,False,55,3025,1000
00098_1985-05-23,1985-05-23,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00098_1985-05-23\correlation_matrix.csv,d:\Downloads\QRM\recession_project\analysis\KnewIMP_Spreads\00098_1985-05-23\imputed_correlation_matrix.csv,True,False,55,3025,1000
